Telescope :,Gemini,,Instrument :,Flamingos II,Flamingos 2,,,,,,,,,,,,,,
Obj. Name,Date,FITS #,Program ID,Exposure (s),Filter,Local Time,Airmass,Seeing,Type,Flat #,Telluric # (Or BMAG;VMAG),Lamps #,Darks Program ID,Darks Date,Darks #,abba patterns,Reduce ? (0/1),Binary ?,Comments
Argon,131002,89,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,90,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131002,95,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,96,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 2027,131002,100-103,GS-2013B-Q-79,,JH,,,,Telluric,116,A0.5,115,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 2027,131002,104-107,GS-2013B-Q-79,,HK,,,,Telluric,122,A0.5,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0027-0806,131002,111-114,GS-2013B-Q-79,,JH,,,,Science,116,100-103,115,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0027-0806,131002,117-120,GS-2013B-Q-79,,HK,,,,Science,122,104-107,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131002,115,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,116,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131002,121,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,122,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 9571,131002,141-144,GS-2013B-Q-79,,JH,,,,Telluric,131,A6,130,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 9571,131002,145-148,GS-2013B-Q-79,,HK,,,,Telluric,137,A6,136,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0148-5201,131002,126-129,GS-2013B-Q-79,,JH,,,,Science,131,141-144,130,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0148-5201,131002,132-135,GS-2013B-Q-79,,HK,,,,Science,137,145-148,136,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131002,130,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,131,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131002,136,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
